"rk","name","war","war7","jaws","r_jaws","war_162","waa","col_9","top5","sharecyyoung","col_12","top5_12","sharewar","yrs","fromyear","toyear","asg","w","l","w_l","era","era_plus","g","gs","gf","cg","sho","sv","ip","h","r","er","hr","bb","ibb","so","hbp","bk","wp","bf","player_add","name","name_additional","hof"
"1","Mariano Rivera HOF","56.3","28.7","42.5","48.9","3.4","32.5","0","5","1.04","0","0","0","19","1995","2013","13","82","60","0.577","2.21","205","1115","10","952","0","0","652","1283.2","998","340","315","71","286","41","1173","46","3","13","5103","riverma01","Mariano Rivera","riverma01","1"
"2","Dennis Eckersley HOF","62.1","37.8","49.9","39.6","2.9","30.2","1","4","1.24","0","2","0.7","24","1975","1998","6","197","171","0.535","3.5","116","1071","361","577","100","20","390","3285.2","3076","1382","1278","347","738","91","2401","75","16","28","13534","eckerde01","Dennis Eckersley","eckerde01","1"
"3","Hoyt Wilhelm HOF","46.8","26.6","36.7","34.4","2.8","23.8","0","0","0","0","1","0.7","21","1952","1972","8","143","122","0.54","2.52","147","1070","52","651","20","5","228","2254.1","1757","773","632","150","778","79","1610","62","4","90","9164","wilheho01","Hoyt Wilhelm","wilheho01","1"
"4","Rich Gossage HOF","41.1","31.7","36.4","29.5","2.7","15.7","0","4","0.36","0","1","0.8","22","1972","1994","9","124","107","0.537","3.01","126","1002","37","681","16","0","310","1809.1","1497","670","605","119","732","90","1502","47","5","63","7507","gossari01","Rich Gossage","gossari01","1"
"5","Trevor Hoffman HOF","28","19.4","23.7","27.2","1.8","13.6","0","3","1.07","0","0","0","18","1993","2010","7","61","75","0.449","2.87","141","1035","0","856","0","0","601","1089.1","846","378","347","100","307","58","1133","9","0","49","4388","hoffmtr01","Trevor Hoffman","hoffmtr01","1"
"6","Billy Wagner HOF","27.7","19.8","23.7","24.9","2.2","16.5","0","1","0.05","0","0","0","16","1995","2010","7","47","40","0.54","2.31","187","853","0","703","0","0","422","903","601","262","232","82","300","26","1196","33","1","43","3600","wagnebi02","Billy Wagner","wagnebi02","1"
"7","Kenley Jansen","24.5","16.8","20.6","24.7","1.8","13.7","0","1","0.1","0","0","0","17","2010","2026","4","55","42","0.567","2.59","154","948","0","713","0","0","483","939.2","618","289","270","91","287","20","1296","32","19","21","3729","janseke01","null","null","0"
"8","Joe Nathan","26.7","21.7","24.2","24.3","2.2","14.3","0","2","0.03","0","0","0","16","1999","2016","6","64","34","0.653","2.87","151","787","29","587","0","0","377","923.1","690","317","294","84","344","31","976","23","2","47","3771","nathajo01","null","null","0"
"9","Firpo Marberry","30.7","27.1","28.9","24.3","2.8","9.6","0","0","0","0","0","0.2","14","1923","1936","0","148","88","0.627","3.63","116","551","186","272","86","7","99","2067.1","2049","971","834","96","686","24","822","38","4","14","8759","marbefi01","null","null","0"
"10","Tom Gordon","35","23.3","29.1","23.6","2.2","13.6","0","0","0","0","0","0","21","1988","2009","3","138","126","0.523","3.96","113","890","203","347","18","4","158","2108","1889","1016","927","176","977","57","1928","38","5","112","9058","gordoto01","null","null","0"
"11","Aroldis Chapman","25.2","17.5","21.4","22.6","1.9","14","0","0","0.02","0","0","0","17","2010","2026","8","60","49","0.55","2.48","167","880","0","576","0","0","378","838","482","256","231","54","415","7","1353","34","6","88","3405","chapmar01","null","null","0"
"12","Jonathan Papelbon","23.3","19.5","21.4","21.7","2.3","13","0","0","0","0","0","0","12","2005","2016","6","41","36","0.532","2.44","177","689","3","585","0","0","368","725.2","572","226","197","57","185","18","808","34","1","14","2938","papeljo01","null","null","0"
"13","Ellis Kinder","28.9","24.5","26.7","21.5","3.2","13.8","0","0","0","0","0","0.2","12","1946","1957","0","102","71","0.59","3.43","125","484","122","255","56","10","104","1479.2","1421","627","564","116","539","52","749","9","2","11","6302","kindeel01","null","null","0"
"14","Francisco Rodríguez","24.2","17.6","20.9","21.1","1.7","12.4","0","3","0.28","0","0","0","16","2002","2017","6","52","53","0.495","2.86","148","948","0","677","0","0","437","976","738","336","310","98","389","42","1142","17","2","68","4011","rodrifr03","null","null","0"
"15","Lee Smith HOF","28.9","20.8","24.8","21","1.9","13.2","0","3","0.55","0","0","0","18","1980","1997","7","71","92","0.436","3.03","132","1022","6","802","0","0","478","1289.1","1133","475","434","89","486","100","1251","10","4","47","5388","smithle02","Lee Smith","smithle02","1"
"16","Stu Miller","27","23.4","25.2","20.7","2.3","9","0","0","0","0","0","0.1","16","1952","1968","2","105","103","0.505","3.24","115","704","93","406","24","5","153","1693.1","1522","697","610","140","600","120","1164","39","3","25","7083","millest01","null","null","0"
"17","David Robertson","21.7","16.5","19.1","20.2","1.7","11.2","0","0","0.01","0","0","0","17","2008","2025","1","68","46","0.596","2.93","143","881","1","358","0","0","179","894.1","674","315","291","81","365","38","1176","25","5","57","3690","roberda08","null","null","0"
