"rk","name","war","war7","war7adj","jaws","s_jaws","warper162","waa","col_10","top5","sharecyyoung","col_13","top5_13","sharewar","yrs","fromyear","toyear","asg","w","l","w_l","era","eraplus","g","gs","gf","cg","sho","sv","ip","h","r","er","hr","bb","ibb","so","hbp","bk","wp","bf","player_add","name","name_additional","hof"
"1","Walter Johnson HOF","168.4","92","66.9","130.2","117.6","7.5","109.2","0","0","0","7","12","8.5","21","1907","1927","0","417","279","0.599","2.17","147","802","666","127","531","110","34","5914.1","4913","1902","1424","97","1363","null","3509","205","4","154","23415","johnswa01","Walter Johnson","johnswa01","1"
"2","Roger Clemens","139.2","65.9","64","102.6","101.6","6.7","94.5","7","10","7.66","4","10","7","24","1984","2007","11","354","184","0.658","3.12","143","709","707","0","118","46","0","4916.2","4185","1885","1707","363","1580","63","4672","159","20","143","20240","clemero02","Roger Clemens","clemero02","0"
"3","Randy Johnson HOF","101.1","61.5","60.4","81.3","80.8","5.6","64.9","5","9","6.5","2","6","4.6","22","1988","2009","10","303","166","0.646","3.29","135","618","603","7","100","37","2","4135.1","3346","1703","1513","411","1497","37","4875","190","33","109","17067","johnsra05","Randy Johnson","johnsra05","1"
"4","Lefty Grove HOF","106.8","65.6","59.7","86.2","83.2","6.8","66.6","0","0","0","2","10","6.6","17","1925","1941","6","300","141","0.68","3.06","148","616","457","123","298","35","54","3940.2","3849","1594","1339","162","1187","24","2266","42","1","51","16622","grovele01","Lefty Grove","grovele01","1"
"5","Pedro Martínez HOF","83.9","58.2","58.2","71.1","71.1","6.4","59.2","3","7","4.26","2","5","3.6","18","1992","2009","8","219","100","0.687","2.93","154","476","409","23","46","17","3","2827.1","2221","1006","919","239","760","30","3154","141","6","62","11394","martipe02","Pedro Martínez","martipe02","1"
"6","Greg Maddux HOF","106.6","56.3","55.6","81.4","81.1","4.9","66.8","4","9","4.92","3","3","3.7","23","1986","2008","8","355","227","0.61","3.16","132","744","740","3","109","35","0","5008.1","4726","1981","1756","353","999","177","3371","137","28","70","20421","maddugr01","Greg Maddux","maddugr01","1"
"7","Tom Seaver HOF","109.9","59.3","53.8","84.6","81.9","5.7","68.9","3","8","3.85","1","5","4.1","20","1967","1986","12","311","205","0.603","2.86","127","656","647","6","231","61","1","4783","3971","1674","1521","380","1390","116","3640","76","8","126","19369","seaveto01","Tom Seaver","seaveto01","1"
"8","Christy Mathewson HOF","107.2","70.4","53.3","88.8","80.3","6.1","69.4","0","0","0","4","10","7.7","17","1900","1916","0","373","188","0.665","2.13","136","636","552","73","435","79","30","4788.2","4219","1620","1135","89","848","null","2507","59","8","115","18929","mathech01","Christy Mathewson","mathech01","1"
"9","Bob Gibson HOF","89.2","61.2","52.6","75.2","70.9","5.8","54.1","2","3","2.04","3","4","3.4","17","1959","1975","9","251","174","0.591","2.91","127","528","482","21","255","56","6","3884.1","3279","1420","1258","257","1336","118","3117","102","13","108","16068","gibsobo01","Bob Gibson","gibsobo01","1"
"10","Cy Young HOF","163.6","78","50.7","120.8","107.2","6.4","99.2","0","0","0","6","14","9.9","22","1890","1911","0","511","315","0.619","2.63","138","906","815","84","749","76","18","7356","7092","3167","2147","138","1217","null","2803","161","3","156","29565","youngcy01","Cy Young","youngcy01","1"
"11","Bullet Rogan HOF","61.3","50.6","50.6","55.9","55.9","7.3","43.4","0","0","0","4","6","5","13","1920","1938","1","120","52","0.698","2.65","161","214","157","18","136","18","16","1500","1330","611","442","22","405","0","918","30","1","31","5541","roganbu99","Bullet Rogan","roganbu99","1"
"12","Grover Alexander HOF","119.9","70.2","50.3","95.1","85.1","6.3","78.8","0","0","0","5","10","7.2","20","1911","1930","0","373","208","0.642","2.56","135","696","600","81","436","90","32","5190","4868","1852","1476","165","951","8","2198","70","1","38","20893","alexape01","Grover Alexander","alexape01","1"
"13","Roy Halladay HOF","64.2","50.6","50.1","57.4","57.2","5.4","39.3","2","7","3.5","1","4","3.3","16","1998","2013","8","203","105","0.659","3.38","131","416","390","6","67","20","1","2749.1","2646","1135","1034","236","592","28","2117","81","9","56","11287","hallaro01","Roy Halladay","hallaro01","1"
"14","Justin Verlander","81.7","50.1","50.1","65.9","65.9","5","48.9","3","9","5.21","1","4","2.5","21","2005","2026","9","266","159","0.626","3.33","128","556","556","0","26","9","0","3571.1","3052","1433","1322","372","1006","28","3554","121","20","100","14626","verlaju01","null","null","0"
"15","Clayton Kershaw","80.9","49.7","49.7","65.3","65.3","6","57.7","3","7","4.58","2","3","2.9","18","2008","2025","11","223","96","0.699","2.53","154","455","451","1","25","15","0","2855.1","2193","881","804","235","713","28","3052","46","26","108","11279","kershcl01","null","null","0"
"16","Zack Greinke","77.4","48.4","48.4","62.9","62.9","4.7","47.9","1","3","2.03","1","2","1.8","20","2004","2023","6","225","156","0.591","3.49","121","586","541","8","17","5","1","3389.1","3207","1410","1315","367","762","25","2979","79","7","101","13877","greinza01","null","null","0"
"17","Kid Nichols HOF","118.2","75.1","48","96.7","83.1","6.7","75.4","0","0","0","4","9","6.4","15","1890","1906","0","362","208","0.635","2.96","140","621","562","56","532","48","16","5067.1","4929","2480","1664","156","1272","null","1881","129","1","169","21099","nichoki01","Kid Nichols","nichoki01","1"
"18","Curt Schilling","79.5","48.6","47.6","64.1","63.5","5.4","52.9","0","4","1.85","0","3","1.9","20","1988","2007","6","216","146","0.597","3.46","127","569","436","81","83","20","22","3261","2998","1318","1253","347","711","43","3116","52","8","72","13284","schilcu01","null","null","0"
"19","Max Scherzer","74.8","47.6","47.6","61.2","61.2","5.2","49.3","3","8","4.61","0","3","2.3","19","2008","2026","8","222","120","0.649","3.26","129","488","479","2","12","5","0","2981.2","2455","1152","1079","361","787","20","3499","115","7","80","12071","scherma01","null","null","0"
"20","Wes Ferrell","60.1","54.4","47.5","57.2","53.8","5.3","34","0","0","0","1","4","2.6","15","1927","1941","2","193","128","0.601","4.04","116","374","323","43","227","17","13","2623","2845","1382","1177","132","1040","59","985","23","6","35","11568","ferrewe01","null","null","0"
"21","Steve Carlton HOF","90.2","54.3","46.6","72.3","68.4","4.2","45.8","4","6","4.29","2","3","2.9","24","1965","1988","10","329","244","0.574","3.22","115","741","709","13","254","55","2","5217.2","4672","2130","1864","414","1833","150","4136","53","90","183","21683","carltst01","Steve Carlton","carltst01","1"
