,Player,HOF Probability,Inducted
1,Barry Bonds,100.0%,No
2,Willie Mays HOF,100.0%,Yes
3,Alex Rodriguez,99.8%,No
4,Stan Musial HOF,99.8%,Yes
5,Ted Williams HOF,99.8%,Yes
6,Henry Aaron HOF,99.7%,Yes
7,Mickey Mantle HOF,99.5%,Yes
8,Rickey Henderson HOF,99.4%,Yes
9,Joe Morgan HOF,98.7%,Yes
10,Carl Yastrzemski HOF,98.6%,Yes
11,Cal Ripken Jr. HOF,98.3%,Yes
12,Mike Schmidt HOF,98.1%,Yes
13,Ken Griffey Jr. HOF,97.3%,Yes
14,Frank Robinson HOF,96.6%,Yes
15,George Brett HOF,95.9%,Yes
16,Wade Boggs HOF,95.7%,Yes
17,Eddie Mathews HOF,94.8%,Yes
18,Roberto Clemente HOF,91.3%,Yes
19,Adrian Beltré HOF,90.9%,Yes
20,Pete Rose,90.8%,No
21,Ron Santo HOF,90.2%,Yes
22,Robin Yount HOF,89.7%,Yes
23,Ernie Banks HOF,89.6%,Yes
24,Al Kaline HOF,89.0%,Yes
25,Chipper Jones HOF,88.4%,Yes
26,Reggie Jackson HOF,86.7%,Yes
27,Joe DiMaggio HOF,85.8%,Yes
28,Jeff Bagwell HOF,84.6%,Yes
29,Rod Carew HOF,83.4%,Yes
30,Gary Carter HOF,83.1%,Yes
31,Derek Jeter HOF,82.7%,Yes
32,Johnny Bench HOF,82.3%,Yes
33,Frank Thomas HOF,81.3%,Yes
34,Duke Snider HOF,81.3%,Yes
35,Carlos Beltrán HOF,80.3%,Yes
36,Todd Helton HOF,78.0%,Yes
37,Craig Biggio HOF,73.8%,Yes
38,Ryne Sandberg HOF,72.9%,Yes
39,Brooks Robinson HOF,72.0%,Yes
40,Sammy Sosa,71.3%,No
41,Jim Thome HOF,71.1%,Yes
42,Willie McCovey HOF,70.9%,Yes
43,Chase Utley,68.9%,No
44,Eddie Murray HOF,68.6%,Yes
45,Paul Molitor HOF,68.5%,Yes
46,Johnny Mize HOF,68.2%,Yes
47,Mike Piazza HOF,68.0%,Yes
48,Andruw Jones HOF,67.9%,Yes
49,Rafael Palmeiro,67.4%,No
50,Tim Raines HOF,66.6%,Yes
51,Roberto Alomar HOF,66.5%,Yes
52,Alan Trammell HOF,66.4%,Yes
53,Jackie Robinson HOF,66.1%,Yes
54,Barry Larkin HOF,65.5%,Yes
55,Andre Dawson HOF,64.2%,Yes
56,Lou Boudreau HOF,64.0%,Yes
57,Iván Rodríguez HOF,63.5%,Yes
58,Bobby Abreu,63.2%,No
59,Edgar Martínez HOF,62.0%,Yes
60,Larry Walker HOF,61.9%,Yes
61,Manny Ramirez,61.3%,No
62,Ozzie Smith HOF,60.3%,Yes
63,Dave Winfield HOF,60.3%,Yes
64,Kenny Lofton,59.9%,No
65,Ken Boyer,59.7%,No
66,Billy Williams HOF,59.5%,Yes
67,Ichiro Suzuki HOF,59.3%,Yes
68,Richie Ashburn HOF,58.2%,Yes
69,Bobby Grich,57.5%,No
70,Gary Sheffield,57.3%,No
71,Dick Allen HOF,56.0%,Yes
72,Scott Rolen HOF,54.6%,Yes
73,Pee Wee Reese HOF,54.0%,Yes
74,Graig Nettles,53.7%,No
75,Vladimir Guerrero HOF,53.1%,Yes
76,Tony Gwynn HOF,52.6%,Yes
77,Jason Giambi,52.5%,No
78,Carlton Fisk HOF,51.9%,Yes
79,Jim Edmonds,50.7%,No
80,Mark McGwire,48.1%,No
81,Dale Murphy,48.0%,No
82,Jim Wynn,47.9%,No
