,name,hof_prob,hof,hof_prob_pct
1,Roberto Clemente HOF,1.0,Yes,100.0%
2,Rod Carew HOF,1.0,Yes,100.0%
3,Al Kaline HOF,1.0,Yes,100.0%
4,George Brett HOF,0.999,Yes,99.9%
5,Joe Morgan HOF,0.999,Yes,99.9%
6,Ken Griffey Jr. HOF,0.999,Yes,99.9%
7,Cal Ripken Jr. HOF,0.999,Yes,99.9%
8,Frank Robinson HOF,0.998,Yes,99.8%
9,Ernie Banks HOF,0.998,Yes,99.8%
10,Brooks Robinson HOF,0.997,Yes,99.7%
11,Andre Dawson HOF,0.997,Yes,99.7%
12,Reggie Jackson HOF,0.997,Yes,99.7%
13,Chipper Jones HOF,0.996,Yes,99.6%
14,Derek Jeter HOF,0.996,Yes,99.6%
15,Tony Gwynn HOF,0.995,Yes,99.5%
16,Mickey Mantle HOF,0.994,Yes,99.4%
17,Ryne Sandberg HOF,0.994,Yes,99.4%
18,Wade Boggs HOF,0.993,Yes,99.3%
19,Eddie Mathews HOF,0.992,Yes,99.2%
20,Mike Schmidt HOF,0.99,Yes,99.0%
21,Joe DiMaggio HOF,0.988,Yes,98.8%
22,Ted Williams HOF,0.988,Yes,98.8%
23,Roberto Alomar HOF,0.987,Yes,98.7%
24,Rickey Henderson HOF,0.987,Yes,98.7%
25,Vladimir Guerrero HOF,0.986,Yes,98.6%
26,Barry Larkin HOF,0.985,Yes,98.5%
27,Carl Yastrzemski HOF,0.985,Yes,98.5%
28,Craig Biggio HOF,0.984,Yes,98.4%
29,Ichiro Suzuki HOF,0.982,Yes,98.2%
30,Frank Thomas HOF,0.982,Yes,98.2%
31,Tim Raines HOF,0.981,Yes,98.1%
32,Stan Musial HOF,0.981,Yes,98.1%
33,Henry Aaron HOF,0.979,Yes,97.9%
34,Enos Slaughter HOF,0.973,Yes,97.3%
35,Edgar Martínez HOF,0.971,Yes,97.1%
36,Ron Santo HOF,0.967,Yes,96.7%
37,Carlton Fisk HOF,0.967,Yes,96.7%
38,Gary Carter HOF,0.958,Yes,95.8%
39,Johnny Bench HOF,0.953,Yes,95.3%
40,Dave Winfield HOF,0.951,Yes,95.1%
41,Willie Mays HOF,0.942,Yes,94.2%
42,Duke Snider HOF,0.938,Yes,93.8%
43,Willie Stargell HOF,0.936,Yes,93.6%
44,Johnny Mize HOF,0.933,Yes,93.3%
45,Jim Thome HOF,0.932,Yes,93.2%
46,Kirby Puckett HOF,0.932,Yes,93.2%
47,Harmon Killebrew HOF,0.922,Yes,92.2%
48,Billy Williams HOF,0.918,Yes,91.8%
49,Yogi Berra HOF,0.916,Yes,91.6%
50,Paul Molitor HOF,0.91,Yes,91.0%
51,David Ortiz HOF,0.906,Yes,90.6%
52,Joe Gordon HOF,0.903,Yes,90.3%
53,Ozzie Smith HOF,0.902,Yes,90.2%
54,Iván Rodríguez HOF,0.902,Yes,90.2%
55,Nellie Fox HOF,0.898,Yes,89.8%
56,Minnie Miñoso HOF,0.89,Yes,89.0%
57,Jackie Robinson HOF,0.89,Yes,89.0%
58,Jim Rice HOF,0.888,Yes,88.8%
59,Tony Pérez HOF,0.888,Yes,88.8%
60,Mike Piazza HOF,0.887,Yes,88.7%
61,Lou Boudreau HOF,0.883,Yes,88.3%
62,Carlos Beltrán HOF,0.882,Yes,88.2%
63,Willie McCovey HOF,0.882,Yes,88.2%
64,Todd Helton HOF,0.874,Yes,87.4%
65,Adrian Beltré HOF,0.872,Yes,87.2%
66,Jeff Kent HOF,0.868,Yes,86.8%
67,Jeff Bagwell HOF,0.853,Yes,85.3%
68,Eddie Murray HOF,0.85,Yes,85.0%
69,Pee Wee Reese HOF,0.84,Yes,84.0%
70,Alan Trammell HOF,0.832,Yes,83.2%
71,Joe Mauer HOF,0.826,Yes,82.6%
72,Orlando Cepeda HOF,0.825,Yes,82.5%
73,Fred McGriff HOF,0.823,Yes,82.3%
74,Richie Ashburn HOF,0.818,Yes,81.8%
75,Larry Walker HOF,0.804,Yes,80.4%
76,Larry Doby HOF,0.8,Yes,80.0%
77,Robin Yount HOF,0.791,Yes,79.1%
78,Dick Allen HOF,0.776,Yes,77.6%
79,Lou Brock HOF,0.743,Yes,74.3%
80,Bobby Doerr HOF,0.732,Yes,73.2%
81,Red Schoendienst HOF,0.72,Yes,72.0%
82,Scott Rolen HOF,0.714,Yes,71.4%
83,Ted Simmons HOF,0.702,Yes,70.2%
84,Tony Oliva HOF,0.7,Yes,70.0%
85,Ralph Kiner HOF,0.684,Yes,68.4%
86,Keith Hernandez,0.681,No,68.1%
87,Joe Torre HOF,0.658,Yes,65.8%
88,George Kell HOF,0.656,Yes,65.6%
89,Luis Aparicio HOF,0.641,Yes,64.1%
90,Kenny Lofton,0.629,No,62.9%
91,Phil Rizzuto HOF,0.626,Yes,62.6%
92,Dale Murphy,0.626,No,62.6%
93,Harold Baines HOF,0.605,Yes,60.5%
94,Andruw Jones HOF,0.526,Yes,52.6%
95,Dave Parker HOF,0.472,Yes,47.2%
96,Reggie Smith,0.401,No,40.1%
97,Ken Boyer,0.353,No,35.3%
98,Roy Campanella HOF,0.306,Yes,30.6%
99,Will Clark,0.301,No,30.1%
100,Graig Nettles,0.238,No,23.8%
101,Sal Bando,0.229,No,22.9%
102,David Wright,0.223,No,22.3%
103,Fred Lynn,0.22,No,22.0%
104,Chase Utley,0.203,No,20.3%
105,Dwight Evans,0.198,No,19.8%
106,Bob Johnson,0.178,No,17.8%
107,Nomar Garciaparra,0.155,No,15.5%
108,Lance Berkman,0.145,No,14.5%
