,Player,HOF Probability,Inducted,FromYear
1,Mariano Rivera HOF,99.4%,Yes,1995
2,Trevor Hoffman HOF,96.0%,Yes,1993
3,Kenley Jansen,80.0%,No,2010
5,Billy Wagner HOF,71.3%,Yes,1995
6,Craig Kimbrel,66.6%,No,2010
7,Francisco Rodríguez,62.3%,No,2002
9,Aroldis Chapman,45.6%,No,2010
10,Jonathan Papelbon,45.6%,No,2005
11,Joe Nathan,38.5%,No,1999
13,Troy Percival,29.4%,No,1995
18,Huston Street,17.6%,No,2005
19,Francisco Cordero,17.4%,No,1999
21,Roberto Hernández,15.7%,No,1991
22,Robb Nen,14.9%,No,1993
24,Fernando Rodney,11.7%,No,2002
29,Todd Jones,10.6%,No,1993
30,Armando Benítez,10.4%,No,1994
31,José Valverde,9.2%,No,2003
33,Jason Isringhausen,8.4%,No,1995
34,Raisel Iglesias,8.0%,No,2015
35,Rod Beck,7.7%,No,1991
36,Emmanuel Clase,7.0%,No,2019
37,Mark Melancon,6.4%,No,2009
38,Edwin Díaz,6.3%,No,2016
39,Bob Wickman,5.9%,No,1992
41,Josh Hader,5.4%,No,2017
44,Joakim Soria,3.8%,No,2007
46,Ugueth Urbina,3.8%,No,1995
47,Greg Holland,3.3%,No,2010
48,Rafael Soriano,3.0%,No,2002
49,Brad Lidge,2.8%,No,2002
54,Brian Fuentes,2.2%,No,2001
55,Keith Foulke,2.1%,No,1997
56,J.J. Putz,2.0%,No,2003
58,Jeff Shaw,1.8%,No,1990
59,David Robertson,1.8%,No,2008
62,Roberto Osuna,1.6%,No,2015
64,Éric Gagné,1.4%,No,1999
65,Bobby Jenks,1.4%,No,2005
69,Eddie Guardado,1.2%,No,1993
70,Brian Wilson,1.1%,No,2006
71,Danny Graves,1.1%,No,1996
72,Zack Britton,1.1%,No,2011
73,Jim Johnson,1.1%,No,2006
74,Cody Allen,1.0%,No,2012
76,Alex Colomé,1.0%,No,2013
77,Billy Koch,1.0%,No,1999
78,Heath Bell,0.9%,No,2004
79,Chad Cordero,0.9%,No,2003
84,Steve Cishek,0.8%,No,2010
86,Takashi Saito,0.8%,No,2006
89,Kazuhiro Sasaki,0.7%,No,2000
90,Mike Timlin,0.7%,No,1991
92,Ken Giles,0.7%,No,2014
94,Santiago Casilla,0.7%,No,2004
96,Sergio Romo,0.6%,No,2008
99,Koji Uehara,0.6%,No,2009
100,Devin Williams,0.6%,No,2019
102,Brad Ziegler,0.6%,No,2008
103,David Bednar,0.6%,No,2019
104,Ryan Helsley,0.6%,No,2019
105,Trevor Rosenthal,0.5%,No,2012
107,B.J. Ryan,0.5%,No,1999
108,Felipe Vazquez,0.5%,No,2015
