,Player,HOF Probability,Inducted,FromYear
1,Roger Clemens,99.9%,No,1984
2,Randy Johnson HOF,99.7%,Yes,1988
3,Tom Seaver HOF,98.4%,Yes,1967
4,Bob Gibson HOF,97.9%,Yes,1959
5,Pedro Martínez HOF,97.8%,Yes,1992
6,Steve Carlton HOF,97.6%,Yes,1965
7,Nolan Ryan HOF,97.2%,Yes,1966
8,Greg Maddux HOF,97.1%,Yes,1986
9,Phil Niekro HOF,94.4%,Yes,1964
10,Gaylord Perry HOF,93.9%,Yes,1962
11,Bert Blyleven HOF,92.9%,Yes,1970
12,Justin Verlander,92.5%,No,2005
13,Clayton Kershaw,90.8%,No,2008
14,Fergie Jenkins HOF,89.5%,Yes,1965
15,Max Scherzer,88.3%,No,2008
16,Robin Roberts HOF,85.9%,Yes,1948
17,Curt Schilling,84.9%,No,1988
20,Zack Greinke,81.1%,No,2004
21,Juan Marichal HOF,79.0%,Yes,1960
22,Jim Bunning HOF,78.6%,Yes,1955
23,Roy Halladay HOF,73.3%,Yes,1998
25,Mike Mussina HOF,67.2%,Yes,1991
26,Jim Palmer HOF,63.8%,Yes,1965
27,Sandy Koufax HOF,62.8%,Yes,1955
28,Tom Glavine HOF,59.5%,Yes,1987
29,Kevin Brown,59.4%,No,1986
30,Don Drysdale HOF,57.3%,Yes,1956
31,Chris Sale,56.8%,No,2010
32,David Cone,56.6%,No,1986
33,CC Sabathia HOF,51.4%,Yes,2001
34,John Smoltz HOF,50.9%,Yes,1988
35,Luis Tiant,50.7%,No,1964
36,Johan Santana,49.2%,No,2000
37,Don Sutton HOF,40.9%,Yes,1966
38,Rick Reuschel,37.9%,No,1972
39,Chuck Finley,37.1%,No,1986
40,Mark Langston,36.6%,No,1984
41,Kevin Appier,36.6%,No,1989
42,Sam McDowell,36.5%,No,1961
43,Dave Stieb,33.9%,No,1979
44,Frank Tanana,33.6%,No,1973
45,Mickey Lolich,32.6%,No,1963
46,Bret Saberhagen,31.6%,No,1984
47,Félix Hernández,31.3%,No,2005
48,Jacob deGrom,31.1%,No,2014
49,Cole Hamels,30.3%,No,2006
50,Wilbur Wood,29.3%,No,1961
51,Jim Kaat HOF,28.0%,Yes,1959
53,Dwight Gooden,26.3%,No,1984
54,Roy Oswalt,25.2%,No,2001
55,Orel Hershiser,24.5%,No,1983
56,Jerry Koosman,24.0%,No,1967
58,Frank Viola,23.8%,No,1982
59,Tim Hudson,23.2%,No,1999
60,Vida Blue,21.3%,No,1969
61,Bartolo Colón,20.4%,No,1997
62,Cliff Lee,20.3%,No,2002
63,Billy Pierce,20.1%,No,1945
64,Javier Vázquez,20.1%,No,1998
65,Camilo Pascual,19.0%,No,1954
66,Andy Pettitte,18.3%,No,1995
67,Jon Lester,18.3%,No,2006
68,Adam Wainwright,17.8%,No,2005
70,Gerrit Cole,17.4%,No,2013
71,Ron Guidry,16.1%,No,1975
72,Tommy John,15.5%,No,1963
73,Whitey Ford HOF,15.3%,Yes,1950
75,Carlos Zambrano,14.4%,No,2001
77,Mark Buehrle,13.1%,No,2000
78,Jack Morris HOF,13.0%,Yes,1977
79,Zack Wheeler,12.9%,No,2013
80,Jamie Moyer,12.7%,No,1986
81,José Rijo,12.3%,No,1984
83,Kenny Rogers,11.5%,No,1989
84,Steve Rogers,11.1%,No,1973
85,Catfish Hunter HOF,11.0%,Yes,1965
86,Jimmy Key,11.0%,No,1984
88,Jim Maloney,10.7%,No,1960
89,Dennis Martínez,10.5%,No,1976
91,Larry Jackson,10.1%,No,1955
92,Corey Kluber,9.6%,No,2011
93,Jon Matlack,9.6%,No,1971
94,Fernando Valenzuela,9.1%,No,1980
95,David Price,9.0%,No,2008
96,Dan Haren,8.6%,No,2003
98,David Wells,8.5%,No,1987
99,Brad Radke,8.3%,No,1995
100,Andy Messersmith,8.0%,No,1968
101,Al Leiter,7.9%,No,1987
102,Jake Peavy,7.3%,No,2002
103,Tom Candiotti,7.1%,No,1983
104,John Lackey,6.5%,No,2002
105,Bob Friend,6.4%,No,1951
107,Aaron Nola,6.3%,No,2015
108,Charlie Hough,5.9%,No,1970
109,Josh Beckett,5.8%,No,2001
110,Madison Bumgarner,5.7%,No,2009
111,Mel Stottlemyre,5.2%,No,1964
112,Bob Welch,5.2%,No,1978
114,Barry Zito,4.9%,No,2000
115,John Candelaria,4.7%,No,1975
117,Johnny Cueto,4.5%,No,2008
118,James Shields,4.5%,No,2006
119,Jered Weaver,4.4%,No,2006
120,Sonny Gray,4.3%,No,2013
121,Curt Simmons,4.2%,No,1947
122,Claude Osteen,4.1%,No,1957
125,Jerry Reuss,4.0%,No,1969
126,Rick Sutcliffe,3.9%,No,1976
127,Chris Carpenter,3.8%,No,1997
128,Ned Garver,3.8%,No,1948
130,Jim Perry,3.6%,No,1959
132,Yu Darvish,3.6%,No,2012
133,Johnny Antonelli,3.6%,No,1948
134,Bruce Hurst,3.5%,No,1980
135,Lance Lynn,3.5%,No,2011
136,Mark Gubicza,3.4%,No,1984
137,Milt Pappas,3.4%,No,1957
138,Sonny Siebert,3.4%,No,1964
139,Danny Darwin,3.1%,No,1978
140,Derek Lowe,3.1%,No,1997
141,Matt Cain,3.0%,No,2005
142,Liván Hernández,3.0%,No,1996
143,Burt Hooton,2.9%,No,1971
144,Dean Chance,2.9%,No,1961
145,Doyle Alexander,2.8%,No,1971
146,Tim Wakefield,2.7%,No,1992
147,Pat Hentgen,2.6%,No,1991
148,Rick Rhoden,2.6%,No,1974
149,Jason Schmidt,2.6%,No,1995
150,Gio Gonzalez,2.5%,No,2008
151,Chris Short,2.5%,No,1959
152,Rick Wise,2.5%,No,1964
153,Kevin Millwood,2.5%,No,1997
154,Andy Benes,2.5%,No,1989
155,Mike Moore,2.4%,No,1982
156,John Tudor,2.3%,No,1979
157,A.J. Burnett,2.3%,No,1999
158,Freddy García,2.3%,No,1999
159,Ervin Santana,2.3%,No,2005
160,Kevin Gausman,2.2%,No,2013
161,Jose Quintana,2.2%,No,2012
163,Larry Dierker,2.1%,No,1964
164,Charlie Leibrandt,2.0%,No,1979
165,Sid Fernandez,2.0%,No,1983
166,Bob Rush,2.0%,No,1948
168,Harvey Haddix,2.0%,No,1952
169,Frank Lary,1.9%,No,1954
170,Mike Boddicker,1.9%,No,1980
171,Gary Peters,1.9%,No,1959
172,John Denny,1.8%,No,1974
173,Mike Cuellar,1.8%,No,1959
174,Mike Garcia,1.8%,No,1948
175,Doug Drabek,1.8%,No,1986
176,Ryan Dempster,1.7%,No,1998
178,Aníbal Sánchez,1.6%,No,2006
179,Alex Fernandez,1.5%,No,1990
180,Ted Lilly,1.5%,No,1999
182,Johnny Podres,1.4%,No,1953
183,Charles Nagy,1.4%,No,1990
184,Mike Scott,1.4%,No,1979
185,Dave Stewart,1.4%,No,1978
186,Vern Law,1.3%,No,1950
187,Ken Holtzman,1.3%,No,1965
188,Tim Lincecum,1.3%,No,2007
189,Hideo Nomo,1.3%,No,1995
190,Bob Veale,1.3%,No,1962
191,Mike Hampton,1.2%,No,1993
193,Bill Hands,1.2%,No,1965
194,Pedro Astacio,1.2%,No,1992
196,Jack McDowell,1.1%,No,1987
197,Earl Wilson,1.1%,No,1959
198,Floyd Bannister,1.1%,No,1977
200,Jim Clancy,1.1%,No,1977
201,Joe Coleman,1.1%,No,1965
202,Jake Arrieta,1.1%,No,2010
203,Luis Castillo,1.0%,No,2017
204,Jim Barr,1.0%,No,1971
205,Carlos Carrasco,1.0%,No,2009
206,Kevin Gross,1.0%,No,1983
207,Ubaldo Jiménez,1.0%,No,2006
209,Scott Kazmir,1.0%,No,2004
210,Dave McNally,1.0%,No,1962
211,Joe Niekro,1.0%,No,1967
212,Dennis Leonard,0.9%,No,1974
213,Steve Trachsel,0.9%,No,1993
214,Bronson Arroyo,0.9%,No,2000
215,Denny Neagle,0.9%,No,1991
216,Wilson Álvarez,0.9%,No,1989
218,Dave Goltz,0.9%,No,1972
219,Tim Belcher,0.9%,No,1987
220,Robbie Ray,0.8%,No,2014
221,Darryl Kile,0.8%,No,1991
